id,name,start_date,end_date,created_at,updated_at
90055,"Lord Chancellors Advisory Committee on JPs","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90056,"Course Director for COP (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90057,"Deputy Senior Presiding Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90058,"Election Commissioner","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90059,"Judge in Charge of Technology & Construction","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90060,"Magistrates’ Liaison Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90061,"Course Director Long and Complex Trials (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90062,"Election Rota Judges","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90063,"Judge in Charge of The Planning Court","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90064,"Presiding Judge in the Sovereign Base Area Cyprus","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90065,"Course Director Youth Training (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90066,"Designated Family Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90067,"Family Justice Council","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90068,"Judge in Charge of the Administrative Court","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90069,"KB Liaision Judges (Administrative Court)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90070,"Course Tutor Specialist Jurisdictions","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90071,"Family Procedure Rule Committee","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90072,"Judge in Charge of the Commercial Court","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90073,"Presiding Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90074,"QB Liaision Judges (Administrative Court)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90075,"Court of Protection Tutor (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90076,"Head of Criminal Justice","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90077,"Judge in Charge of the Patents Court","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90078,"President of the Gender Recognition Panel","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90079,"Regional Lead CoP Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90080,"Courts Committee Chairman (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90081,"Independent Prison Adjudicator","2023-03-30","2024-08-28","2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90082,"President of Welsh Tribunals","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90083,"Sentencing Council","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90084,"Vice President Court of Protection","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90085,"Courts Committee Member (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90086,"Judicial Commissioner Investigatory Powers Commiss","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90087,"Principle Judge - Land Registration","2023-03-30","2024-06-13","2024-03-28T12:39:48Z","2024-06-14T00:03:07Z"
90088,"Tribunals Procedure Rule Committee","2023-03-30","2023-11-06","2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90089,"Criminal Course Director (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90090,"Land Registration Rule Committee","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90091,"Principle Judge - Residential Property","2023-03-30","2024-06-13","2024-03-28T12:39:48Z","2024-06-14T00:03:07Z"
90092,"Tribunal Procedure Committee","2023-11-07",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90093,"Criminal Course Tutor (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90094,"Lead for Asylum Support","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90095,"Regional Judge","2023-03-30","2025-02-26","2024-03-28T12:39:48Z","2025-02-27T01:00:46Z"
90096,"Cross-Jurisdictional Course Director","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
