id,name,type_id,jurisdiction_id,parent_category_id,start_date,end_date,created_at,updated_at
69,"Pathogens Access Appeals Commission",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
70,"Plant Varieties and Seeds Tribunal",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
71,"Police Appeals Tribunal",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
72,"Proscribed Organisations Appeal Commission",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
73,"Reinstatement Committees and Umpires Tribunal",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
74,"Rent Assessment Panel - Wales",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
75,"Residential Property Wales",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2026-02-10T01:00:15Z"
76,"Road User Charging Tribunal",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
77,"Special Educational Needs Tribunal Wales",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
78,"Special Immigration Appeals Commission",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
79,"Surveillance Commissioners",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
80,"Trademark Tribunals",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
81,"Transport Tribunal",3,34,48,"2023-03-30","2024-03-18","2023-05-19T11:18:46Z","2024-03-20T00:02:31Z"
82,"Valuation Tribunal - England",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
83,"Valuation Tribunal Wales",3,34,48,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
85,"Court Type",4,84,,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
88,"Languages",5,87,,"2023-03-30",,"2023-05-19T11:18:46Z","2023-12-21T00:02:06Z"
